"id","nome","descricao","preco","preco_custo","estoque","imagem","categoria","variantes","semDevolucao","deleted","updated_at"
"931915517","","","25.00","8.80","20","","COSMETICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"1786561394961","","","1.00","1.00","0","","","{}","False","False","2026-08-25 18:39:49.578+00"
"515","3 PARES DE MEIA CANO CURTO MASCULINA","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","24.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/afdccd813cc6761.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"514","3 PARES DE MEIA MASCULINA CANO ALTO","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","24.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/74d9a21b4b2b74b.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"513","3 PARES DE MEIAS FEMININAS CANO CURTO","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","24.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/22a197bb19d110a.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"519","AIR FRYER","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","599.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/98a01d9bd7599e6.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"353","ALEXA - SEM COMISSAO","Sem comissão!!","500.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/72c32aea66062c7.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"522","APARELHO DE JANTAR","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","499.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/0cbd5ec7ee6b1b1.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"619","APARELHO DE JANTAR BRASILIA 20 PECAS","Encomenda Encomendas devem ser feitas até o 3 dia do mês do seu acerto!!","499.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/2c3a361be2dcef3.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"348","ARMARIO DESMONTAVEL GUARDA ROUPA","","399.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/bab622360f36590.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"497","ASPIRADOR DE PO","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","599.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/8a58553708cfe21.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"499","ASPIRADOR DE PO VASSOURA","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","399.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/fb4cfbe1f94c656.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"613","BABY LISS","Encomenda Encomendas devem ser feitas até o 3 dia do mês do seu acerto!!","280.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/5e6ed90c864cb70.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"492","BABY LISS PHILCO","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/79ecfb478abb354.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"582","BALANCO INFANTIL MADEIRA","Encomenda!! Deve ser feita até o 3o dia do mes","89.99","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/31f24dace7dd717.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"185","BANHO DE 12 OLEOS","","35.0","NULL","24","https://thsmdistribuidora.minharota.net/controller/fotos/d5bc559a741dd0f.webp","COSMETICOS","{}","False","False",""
"493","BATEDEIRA","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/38ceb47efdda6ab.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"340","BATOM DUO MATTE (VALOR UNITARIO)","Valor unitário","30.0","NULL","9","https://thsmdistribuidora.minharota.net/controller/fotos/8f86d08acde82fe.webp","COSMETICOS","{}","False","False",""
"697","BATOM RUBY ROSE MOOD","","35.0","NULL","2","","COSMETICOS","{}","False","False",""
"521","BEBEDOURO","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","999.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/6fe1d67494e7315.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"596","BICICLETA BARRA FORTE ARO 26","Sem comissão .Encomenda!! Deve ser feita até o 3o dia do mes","1499.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/6ec2a57b81bdd6a.webp","BICICLETAS","{}","False","False","2026-08-25 18:39:49.578+00"
"414","BOBOJACO UNISSEX","NodeloConsulte se temos o seu tamanho","320.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/2f48e140f1074cb.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"336","BODY SPLASH","Valor unitário","59.99","NULL","19","https://thsmdistribuidora.minharota.net/controller/fotos/359ce47c4a37774.webp","COSMETICOS","{}","False","False",""
"342","?? BOIA BALEIA 80CM","","99.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/e9e5d3db140c818.webp","VARIEDADES","{}","False","False","2026-08-25 18:39:49.578+00"
"384","BOMBA FILTRO DAGUA","","40.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/c1564f1e7f9680f.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"587","BONECA ANGELINA 62 FRASE","","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/fbceb6cbb4858dd.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"484","BONECA HONEY BEE","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!","199.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/d4613e239db50ab.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"585","BONECA PRIMEIRA ORACAO","Encomenda!! Deve ser feita até o 3o dia do mes","160.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/cdd8b979fb9fdec.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"586","BONECA REBORN","Encomenda!! Deve ser feita até o 3o dia do mes","199.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/a9d15bd678e60f8.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"381","CABO CARREGADOR V8","","20.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/46d7e9f12e1100d.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"691","CABO DE CARREGADOR TIPO C","","20.0","NULL","1","","VARIEDADES","{}","False","False",""
"486","CABRITA","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","199.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/be7b0ad8f6dc361.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"460","CACHOS PERFEITOS GLAMMOUR","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!!","240.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/0761ddb5ba0fc0a.webp","COSMETICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"1786817208966","caderno bobbie goods","","30.00","7.00","1","","VARIEDADES","{}","False","False","2026-08-25 18:39:49.578+00"
"465","CAFETEIRA (NAO E DE CAPSULAS)","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!!","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/9f2f6ee08c14eed.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"405","CAIXA BISCOITO DOCE COM 12","Caixa com 12 unidades 500g Sortidos","240.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/03cbf81c1e2ccc3.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"556","CAIXA COM 50 ALFAJOR","Encomenda!! Deve ser feita até o 3o dia do mes","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/0c10aa377d277a4.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"404","CAIXA DE BISCOITO SALGADO COM 12","12 potes com 500g grada Variados","0.00","42.00","20","https://thsmdistribuidora.minharota.net/controller/fotos/f17c9fc97bfed8e.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"223","CAIXA DE CONE TRUFADO - SEM DEVOLUCAO","","170.0","NULL","3","https://thsmdistribuidora.minharota.net/controller/fotos/cd1f1c4cd7228f8.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.577+00"
