"id","nome","descricao","preco","preco_custo","estoque","imagem","categoria","variantes","semDevolucao","deleted","updated_at"
"171","KIT TALHER","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"174","COBRE LEITO INFANTIL - SEM DEVOLUCAO","","0.00",NULL,150,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"180","JOGO DE COPO WHEATON - SEM DEVOLUCAO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"188","JOGO DE COZINHA CAMPESTRE - SEM DEVOLUCAO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"191","SOMBRINHA","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"192","MANGUEIRA 30M - SEM DEVOLUCAO","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"193","MANGUEIRA 20M - SEM DEVOLUCAO","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"194","ROUPAO","","0.00",NULL,20,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"198","MISTEIRA - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"199","MINI PROCESSADOR - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"201","JOGO DE 5 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"202","JOGO 3 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"203","JOGO 4 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"205","KIT COLAGENO - SEM DEVOLUCAO","","0.00",NULL,1000,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"206","KIT SWEET LIFE - SEM DEVOLUCAO","","0.00",NULL,1000,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"207","PANELA DE ARROZ 10 XICARAS - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"210","KIT CALCINHA INFANTIL BOXER C/12 - SEM DEVOLUCAO","","0.00",NULL,20,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"211","KIT PERFUME DESODORANTE","","0.00",NULL,1000,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"213","MALETA DE MAQUIAGEM - SEM DEVOLUCAO","","0.00",NULL,15,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"214","SECADOR - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"217","KIT PASSADEIRA COZINHA - SEM DEVOLUCAO","","0.00",NULL,150,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"219","MANTA COM SHERPA","","0.00",NULL,150,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"220","CARRINHO DE CONTROLE REMOTO - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"221","COBERDROM CASAL","","0.00","95.00",150,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"223","CAIXA DE CONE TRUFADO - SEM DEVOLUCAO","","0.00",NULL,20,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"224","KIT CAFE SUPER PRATICO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"226","CRONOGRAMA CAPILAR - SEM DEVOLUCAO","","0.00",NULL,1000,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"227","JOGO DE TACA MAJESTIC AMBAR - SEM DEVOLUCAO","","0.00","25.50",10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"228","COZEDOR DE OVOS","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"230","TV BOX - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"231","KIT MONOVIN - SEM DEVOLUCAO","","0.00",NULL,1000,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"237","KIT UTENSILIOS 12 PCS - SEM DEVOLUCAO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"240","TRAVESSEIRO - SEM DEVOLUCAO","","0.00",NULL,10,"","","{}",False,False,"2026-08-25 21:51:40.073+00"
"243","PIPOQUEIRA ELETRICA","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.074+00"
"244","CAIXA DE SOM PNEUZINHO - SEM DEVOLUCAO","","0.00",NULL,2,"","","{}",False,False,"2026-08-25 21:51:40.074+00"
"245","CORTINA BLACKOUT 2,8 X 2,6M","","0.00","75.00",15,"","","{}",False,False,"2026-08-25 21:51:40.074+00"
