id,preco,estoque,imagem,categoria,updated_at,preco_custo,nome,descricao,variantes,semdevolucao,deleted
169,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
170,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
171,,10,,,2026-08-23 20:59:33.232+00,,KIT TALHER,Conferir as cores disponíveis!!,{},false,false
172,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
173,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
174,,150,,,2026-08-23 20:59:33.232+00,,COBRE LEITO INFANTIL - SEM DEVOLUCAO,,{},false,false
175,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
176,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
177,,1000,,,2026-08-23 20:59:33.232+00,3.20,,,{},false,false
178,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
179,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
180,,10,,,2026-08-23 20:59:33.232+00,,JOGO DE COPO WHEATON - SEM DEVOLUCAO,Consultar os modelos disponíveis,{},false,false
181,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
182,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
183,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
184,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
185,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
186,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
187,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
188,,10,,,2026-08-23 20:59:33.232+00,,JOGO DE COZINHA CAMPESTRE - SEM DEVOLUCAO,,{},false,false
189,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
190,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
191,,15,,,2026-08-23 20:59:33.232+00,,SOMBRINHA,,{},false,false
192,,15,,,2026-08-23 20:59:33.232+00,,MANGUEIRA 30M - SEM DEVOLUCAO,,{},false,false
193,,15,,,2026-08-23 20:59:33.232+00,,MANGUEIRA 20M - SEM DEVOLUCAO,,{},false,false
194,,20,,,2026-08-23 20:59:33.232+00,,ROUPAO,Conferir tamanho e cores,{},false,false
195,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
196,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
197,,15,,,2026-08-23 20:59:33.232+00,,,,{},false,false
198,,2,,,2026-08-23 20:59:33.232+00,,MISTEIRA - SEM DEVOLUCAO,Consultar a marca por que pode variar,{},false,false
199,,2,,,2026-08-23 20:59:33.232+00,,MINI PROCESSADOR - SEM DEVOLUCAO,,{},false,false
200,,15,,,2026-08-23 20:59:33.232+00,,,,{},false,false
201,,10,,,2026-08-23 20:59:33.232+00,,JOGO DE 5 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO,,{},false,false
202,,15,,,2026-08-23 20:59:33.232+00,,JOGO 3 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO,,{},false,false
203,,15,,,2026-08-23 20:59:33.232+00,,JOGO 4 PANELAS DE ALUMINIO BATIDO - SEM DEVOLUCAO,,{},false,false
204,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
205,,1000,,,2026-08-23 20:59:33.232+00,,KIT COLAGENO - SEM DEVOLUCAO,,{},false,false
206,,1000,,,2026-08-23 20:59:33.232+00,,KIT SWEET LIFE - SEM DEVOLUCAO,,{},false,false
207,,2,,,2026-08-23 20:59:33.232+00,,PANELA DE ARROZ 10 XICARAS - SEM DEVOLUCAO,Consultar a marca,{},false,false
208,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
209,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
210,,20,,,2026-08-23 20:59:33.232+00,,KIT CALCINHA INFANTIL BOXER C/12 - SEM DEVOLUCAO,,{},false,false
211,,1000,,,2026-08-23 20:59:33.232+00,,KIT PERFUME DESODORANTE,,{},false,false
212,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
213,,15,,,2026-08-23 20:59:33.232+00,,MALETA DE MAQUIAGEM - SEM DEVOLUCAO,,{},false,false
214,,2,,,2026-08-23 20:59:33.232+00,,SECADOR - SEM DEVOLUCAO,Confirma a marca disponível,{},false,false
215,,150,,,2026-08-23 20:59:33.232+00,,,,{},false,false
216,,150,,,2026-08-23 20:59:33.232+00,,,,{},false,false
217,,150,,,2026-08-23 20:59:33.232+00,,KIT PASSADEIRA COZINHA - SEM DEVOLUCAO,,{},false,false
218,,10,,,2026-08-23 20:59:33.232+00,,,,{},false,false
219,,150,,,2026-08-23 20:59:33.232+00,,MANTA COM SHERPA,,{},false,false
220,,2,,,2026-08-23 20:59:33.232+00,,CARRINHO DE CONTROLE REMOTO - SEM DEVOLUCAO,,{},false,false
221,,150,,,2026-08-23 20:59:33.232+00,95.00,COBERDROM CASAL,Consultar as cores disponíveis,{},false,false
222,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
223,,20,,,2026-08-23 20:59:33.232+00,,CAIXA DE CONE TRUFADO - SEM DEVOLUCAO,,{},false,false
224,,10,,,2026-08-23 20:59:33.232+00,,KIT CAFE SUPER PRATICO,,{},false,false
225,,1000,,,2026-08-23 20:59:33.232+00,,,,{},false,false
226,,1000,,,2026-08-23 20:59:33.232+00,,CRONOGRAMA CAPILAR - SEM DEVOLUCAO,,{},false,false
227,,10,,,2026-08-23 20:59:33.232+00,25.50,JOGO DE TACA MAJESTIC AMBAR - SEM DEVOLUCAO,,{},false,false
