id,preco,estoque,imagem,categoria,updated_at,preco_custo,nome,descricao,variantes,semdevolucao,deleted
169,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
170,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
171,,10,,,2026-08-22 13:19:32.663+00,,,,{},false,false
172,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
173,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
174,,150,,,2026-08-22 13:19:32.663+00,,,,{},false,false
175,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
176,,1000,,,2026-08-22 13:19:32.663+00,,,,{},false,false
177,,1000,,,2026-08-22 13:19:32.664+00,3.20,,,{},false,false
178,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
179,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
180,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
181,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
182,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
183,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
184,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
185,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
186,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
187,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
188,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
189,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
190,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
191,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
192,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
193,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
194,,20,,,2026-08-22 13:19:32.664+00,,,,{},false,false
195,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
196,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
197,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
198,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
199,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
200,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
201,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
202,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
203,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
204,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
205,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
206,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
207,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
208,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
209,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
210,,20,,,2026-08-22 13:19:32.664+00,,,,{},false,false
211,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
212,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
213,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
214,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
215,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
216,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
217,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
218,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
219,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
220,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
221,,150,,,2026-08-22 13:19:32.664+00,95.00,,,{},false,false
222,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
223,,20,,,2026-08-22 13:19:32.664+00,,,,{},false,false
224,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
225,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
226,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
227,,10,,,2026-08-22 13:19:32.664+00,25.50,,,{},false,false
228,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
229,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
230,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
231,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
232,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
233,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
234,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
235,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
236,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
237,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
238,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
239,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
240,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
241,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
242,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
243,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
244,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
245,,15,,,2026-08-22 13:19:32.664+00,75.00,,,{},false,false
246,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
247,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
248,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
249,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
250,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
251,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
252,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
253,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
254,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
255,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
256,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
257,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
258,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
259,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
260,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
261,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
262,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
263,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
264,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
265,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
266,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
267,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
268,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
269,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
270,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
271,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
272,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
273,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
274,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
275,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
276,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
277,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
278,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
279,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
280,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
281,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
282,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
283,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
284,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
285,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
286,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
287,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
288,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
289,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
290,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
291,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
292,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
293,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
294,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
295,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
296,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
297,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
298,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
299,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
300,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
301,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
302,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
303,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
304,,150,,,2026-08-22 13:19:32.664+00,2.35,,,{},false,false
305,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
306,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
307,,150,,,2026-08-22 13:19:32.664+00,,,,{},false,false
308,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
309,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
310,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
311,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
312,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
313,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
314,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
315,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
316,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
317,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
318,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
319,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
320,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
321,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
322,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
323,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
324,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
325,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
326,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
327,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
328,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
329,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
330,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
331,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
332,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
333,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
334,,100,,,2026-08-22 13:19:32.664+00,,,,{},false,false
335,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
336,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
337,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
338,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
339,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
340,,1000,,,2026-08-22 13:19:32.664+00,,,,{},false,false
341,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
342,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
343,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
344,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
345,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
346,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
347,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
348,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
349,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
350,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
351,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
352,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
353,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
354,,2,,,2026-08-22 13:19:32.664+00,50.00,,,{},false,false
355,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
356,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
357,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
358,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
359,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
360,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
361,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
362,,15,,,2026-08-22 13:19:32.664+00,,,,{},false,false
363,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
364,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
365,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
366,,10,,,2026-08-22 13:19:32.664+00,,,,{},false,false
367,,2,,,2026-08-22 13:19:32.664+00,,,,{},false,false
